iter	RMSE
0	4516.937147
1	4465.470282
2	4407.913179
3	4358.139579
4	4303.419127
5	4247.144786
6	4199.15062
7	4145.925386
8	4099.520282
9	4051.338509
10	4010.022274
11	3971.141318
12	3925.174653
13	3889.428613
14	3850.909743
15	3809.227893
16	3770.226295
17	3733.016495
18	3694.030377
19	3660.418034
20	3626.450264
21	3590.84459
22	3558.110876
23	3525.475744
24	3495.346133
25	3469.142326
26	3439.539934
27	3409.968095
28	3385.086574
29	3363.174119
30	3338.056422
31	3313.690445
32	3290.49627
33	3264.903669
34	3243.110605
35	3219.507049
36	3196.12793
37	3175.149189
38	3152.002368
39	3131.177034
40	3109.687152
41	3093.757683
42	3075.798379
43	3059.99969
44	3039.968046
45	3020.563341
46	3000.287011
47	2984.333485
48	2969.438509
49	2953.956137
50	2937.470452
51	2924.680262
52	2910.750498
53	2894.59274
54	2882.642732
55	2872.122942
56	2860.447594
57	2850.670442
58	2839.008811
59	2827.160293
60	2813.994107
61	2804.475875
62	2791.77491
63	2781.675731
64	2770.96895
65	2757.833756
66	2748.428931
67	2736.153675
68	2722.670473
69	2713.205237
70	2705.668428
71	2694.730845
72	2686.800816
73	2677.116335
74	2667.134191
75	2656.745476
76	2646.962211
77	2639.378018
78	2631.161401
79	2623.117751
80	2615.279764
81	2608.775373
82	2599.486843
83	2591.299617
84	2584.139501
85	2576.139389
86	2569.068025
87	2560.886117
88	2553.544216
89	2544.431387
90	2535.851798
91	2529.635254
92	2521.406082
93	2514.050114
94	2507.172804
95	2498.793437
96	2492.368942
97	2487.528343
98	2481.802062
99	2475.81504
100	2468.068376
101	2463.275196
102	2458.088332
103	2450.322271
104	2446.038728
105	2440.423835
106	2434.618001
107	2429.910449
108	2424.95669
109	2419.185189
110	2412.398559
111	2407.686835
112	2402.625755
113	2396.679171
114	2388.910638
115	2383.978402
116	2378.493621
117	2373.298089
118	2364.360127
119	2358.375954
120	2353.689485
121	2347.999922
122	2345.049164
123	2341.061522
124	2336.108677
125	2330.72539
126	2329.27074
127	2326.06665
128	2321.867462
129	2317.81545
130	2315.300875
131	2309.064364
132	2306.565868
133	2303.080364
134	2297.683715
135	2295.501211
136	2291.613422
137	2287.087928
138	2282.332115
139	2277.491795
140	2271.615733
141	2269.211014
142	2266.284657
143	2263.391753
144	2260.94106
145	2256.737695
146	2253.769041
147	2250.493255
148	2246.756186
149	2244.651647
150	2241.680436
151	2238.212103
152	2235.643
153	2232.760279
154	2228.978559
155	2225.121682
156	2222.23765
157	2219.000508
158	2217.12789
159	2212.359799
160	2210.254679
161	2207.655344
162	2205.653059
163	2202.616318
164	2200.240916
165	2196.171666
166	2193.88651
167	2191.141545
168	2186.918583
169	2184.330985
170	2181.096829
171	2177.023344
172	2172.96978
173	2169.430718
174	2166.794671
175	2162.715077
176	2157.360725
177	2155.402725
178	2152.185098
179	2148.734069
180	2144.855792
181	2141.283794
182	2138.488166
183	2134.586489
184	2130.36991
185	2128.315801
186	2125.918873
187	2122.31752
188	2120.349646
189	2117.345153
190	2113.371846
191	2111.649469
192	2108.531762
193	2106.792541
194	2103.274576
195	2100.991493
196	2098.560718
197	2096.926493
198	2095.051327
199	2092.762794
200	2089.70945
201	2088.337551
202	2085.893205
203	2083.788982
204	2081.645213
205	2080.229823
206	2078.501781
207	2076.097078
208	2074.567925
209	2073.033413
210	2069.284742
211	2066.271604
212	2064.851406
213	2062.700436
214	2058.41959
215	2055.244411
216	2053.764474
217	2050.29675
218	2048.206105
219	2045.877904
220	2043.560151
221	2041.089954
222	2039.449081
223	2036.770146
224	2034.572319
225	2032.544164
226	2030.288395
227	2028.203987
228	2025.330125
229	2024.272026
230	2021.560748
231	2018.648924
232	2015.235433
233	2010.985616
234	2009.593128
235	2008.368092
236	2007.292716
237	2005.25074
238	2002.931493
239	2000.171659
240	1998.390011
241	1995.618652
242	1993.328954
243	1989.261995
244	1987.329539
245	1986.032479
246	1984.262497
247	1982.301519
248	1980.583845
249	1977.322228
250	1975.180664
251	1971.16562
252	1969.649599
253	1968.172615
254	1965.072493
255	1962.73708
256	1959.511578
257	1956.229838
258	1953.547526
259	1950.095771
260	1946.192456
261	1944.712487
262	1942.346481
263	1940.980147
264	1939.885683
265	1936.891458
266	1934.014462
267	1931.322662
268	1929.564514
269	1926.805046
270	1924.900205
271	1923.563011
272	1922.118536
273	1920.313325
274	1919.115105
275	1916.559447
276	1915.759858
277	1913.29863
278	1911.283404
279	1908.719365
280	1904.69636
281	1903.536229
282	1901.499134
283	1900.214227
284	1898.419976
285	1896.007473
286	1893.810651
287	1890.652455
288	1888.666872
289	1886.228533
290	1883.3763
291	1881.35642
292	1878.949572
293	1877.417481
294	1875.2559
295	1872.046697
296	1869.944815
297	1867.460674
298	1865.467402
299	1862.228297
300	1859.918388
301	1858.717066
302	1856.334036
303	1854.805888
304	1852.54849
305	1850.423995
306	1847.528161
307	1845.016619
308	1842.561773
309	1840.488017
310	1838.520662
311	1835.17211
312	1831.960481
313	1830.102556
314	1827.865603
315	1824.834452
316	1823.442099
317	1821.843005
318	1820.012924
319	1817.562974
320	1815.809929
321	1813.666249
322	1811.330603
323	1809.859677
324	1808.006241
325	1806.531319
326	1804.884751
327	1802.603483
328	1800.639003
329	1798.502926
330	1796.439615
331	1795.07158
332	1792.795618
333	1790.604516
334	1788.457972
335	1787.019536
336	1784.937407
337	1782.874253
338	1780.723667
339	1779.067307
340	1777.529673
341	1775.6758
342	1772.66674
343	1771.061648
344	1769.531137
345	1767.468838
346	1764.744614
347	1761.373118
348	1759.064191
349	1757.475345
350	1755.712027
351	1753.22697
352	1750.481597
353	1748.819789
354	1746.148015
355	1744.487306
356	1742.990515
357	1741.236062
358	1739.852921
359	1736.261616
360	1734.609493
361	1733.285455
362	1732.02514
363	1729.541156
364	1727.685632
365	1726.63482
366	1724.66546
367	1722.547435
368	1721.032055
369	1719.324074
370	1717.401826
371	1715.512996
372	1713.979243
373	1712.660982
374	1711.107975
375	1708.409188
376	1707.126275
377	1705.687003
378	1704.332481
379	1703.305288
380	1701.047436
381	1699.462386
382	1698.042671
383	1695.98548
384	1693.548985
385	1692.920857
386	1690.839998
387	1689.340437
388	1687.98857
389	1686.272917
390	1684.331157
391	1681.816637
392	1679.674544
393	1677.680011
394	1675.04076
395	1672.976604
396	1671.474893
397	1669.667943
398	1667.506818
399	1666.223865
400	1663.691037
401	1662.662962
402	1659.839825
403	1657.826108
404	1655.348039
405	1653.04331
406	1651.672943
407	1650.428805
408	1648.543085
409	1646.654334
410	1645.069961
411	1642.824309
412	1640.649207
413	1639.561341
414	1637.603954
415	1637.011728
416	1635.423705
417	1633.694572
418	1632.82576
419	1631.210933
420	1629.372188
421	1628.241122
422	1626.569572
423	1625.629241
424	1624.070936
425	1623.153011
426	1621.648754
427	1620.411739
428	1618.635665
429	1617.664821
430	1616.840083
431	1615.495208
432	1614.605642
433	1613.359208
434	1612.389562
435	1611.519794
436	1610.474739
437	1609.818138
438	1609.213208
439	1607.719717
440	1606.428666
441	1604.872128
442	1603.793019
443	1601.053669
444	1599.227526
445	1598.423574
446	1597.180247
447	1596.211448
448	1594.633147
449	1593.381962
450	1592.306344
451	1589.936343
452	1589.031581
453	1588.527756
454	1586.751482
455	1585.232864
456	1584.160184
457	1582.943684
458	1581.17757
459	1579.281223
460	1578.396337
461	1576.787974
462	1575.497707
463	1573.994447
464	1572.376375
465	1571.283104
466	1570.328379
467	1568.986934
468	1567.359589
469	1566.600212
470	1564.557723
471	1562.936582
472	1562.140522
473	1561.185517
474	1559.686107
475	1558.030613
476	1556.394825
477	1554.986205
478	1552.800239
479	1551.71535
480	1551.127825
481	1549.762256
482	1547.634448
483	1546.678096
484	1545.169223
485	1543.09011
486	1541.028971
487	1539.727699
488	1538.11636
489	1536.786778
490	1535.339974
491	1534.168346
492	1532.299722
493	1531.295543
494	1530.481975
495	1528.979186
496	1526.858635
497	1525.653724
498	1523.458736
499	1522.238233
500	1521.128916
501	1520.198486
502	1519.676983
503	1518.995688
504	1517.378173
505	1516.356418
506	1515.068199
507	1514.137879
508	1512.465752
509	1511.189584
510	1509.932487
511	1508.769052
512	1507.620645
513	1506.145404
514	1505.254075
515	1503.660679
516	1501.907662
517	1500.949581
518	1499.726333
519	1498.653788
520	1496.980408
521	1495.457058
522	1494.72749
523	1493.299051
524	1490.956281
525	1489.998775
526	1489.400562
527	1488.272476
528	1487.294842
529	1486.227631
530	1485.04081
531	1484.534276
532	1483.507303
533	1482.533702
534	1481.965726
535	1480.311399
536	1478.777277
537	1477.415675
538	1476.025477
539	1475.160683
540	1473.628344
541	1472.089127
542	1470.890269
543	1469.838727
544	1469.199048
545	1467.969964
546	1467.238553
547	1466.668389
548	1464.975266
549	1463.168573
550	1461.784499
551	1459.756898
552	1458.722101
553	1458.003645
554	1457.052925
555	1456.093397
556	1455.418921
557	1453.643532
558	1453.006467
559	1451.565503
560	1450.529022
561	1448.719359
562	1447.728704
563	1446.614067
564	1445.863692
565	1445.017163
566	1444.112466
567	1443.038658
568	1441.761344
569	1440.931634
570	1439.307963
571	1438.023401
572	1437.928953
573	1436.441214
574	1435.809955
575	1434.264807
576	1432.842454
577	1431.322213
578	1430.775482
579	1429.051769
580	1427.949452
581	1426.394928
582	1425.547247
583	1424.710736
584	1423.638659
585	1421.955206
586	1420.223654
587	1418.839952
588	1417.94824
589	1417.30067
590	1416.239019
591	1415.412787
592	1413.654273
593	1412.420909
594	1411.576608
595	1410.579322
596	1409.756696
597	1408.28019
598	1406.450177
599	1405.179547
600	1404.290546
601	1403.020892
602	1402.373617
603	1401.722105
604	1400.669638
605	1399.761856
606	1398.692807
607	1397.761353
608	1396.743323
609	1395.710348
610	1394.900984
611	1393.889449
612	1393.43948
613	1392.023392
614	1390.671215
615	1389.8278
616	1389.082264
617	1388.059289
618	1387.249983
619	1386.616583
620	1385.56742
621	1384.222957
622	1382.687846
623	1381.792565
624	1379.809076
625	1379.101233
626	1377.960682
627	1377.172766
628	1375.437051
629	1374.765674
630	1372.563126
631	1371.407954
632	1370.137613
633	1369.169133
634	1367.939783
635	1366.567687
636	1365.480218
637	1364.689405
638	1362.923644
639	1360.925128
640	1359.723919
641	1358.842799
642	1357.457227
643	1356.697927
644	1355.502166
645	1354.733971
646	1353.732265
647	1352.726033
648	1351.801558
649	1351.004334
650	1350.139914
651	1349.279054
652	1348.090014
653	1346.870479
654	1345.819518
655	1344.610939
656	1343.814695
657	1342.150976
658	1340.738981
659	1340.08339
660	1339.01883
661	1338.769421
662	1337.454063
663	1336.756483
664	1334.777643
665	1332.921088
666	1332.369778
667	1331.405551
668	1330.035936
669	1329.01235
670	1328.022526
671	1326.808563
672	1326.101377
673	1324.075749
674	1323.295191
675	1322.512621
676	1320.879491
677	1320.507248
678	1319.311274
679	1318.638669
680	1316.726447
681	1315.405355
682	1314.281485
683	1313.050013
684	1312.205534
685	1311.5178
686	1310.453974
687	1309.692987
688	1308.804056
689	1308.596016
690	1307.258373
691	1306.439023
692	1305.663935
693	1304.798408
694	1303.24541
695	1301.729414
696	1301.032566
697	1300.504611
698	1299.266952
699	1298.362868
700	1297.454472
701	1296.404826
702	1295.579921
703	1295.447985
704	1294.724826
705	1293.086976
706	1292.075708
707	1291.493481
708	1291.214988
709	1290.547217
710	1289.478462
711	1287.96194
712	1286.668849
713	1285.622188
714	1285.19703
715	1284.172099
716	1282.928877
717	1282.361317
718	1281.405502
719	1280.446973
720	1279.652238
721	1279.047437
722	1278.374405
723	1277.817474
724	1276.419024
725	1275.203417
726	1274.517147
727	1273.110803
728	1272.191408
729	1270.940624
730	1269.589727
731	1268.29859
732	1267.357183
733	1266.072444
734	1264.488633
735	1263.908515
736	1262.209006
737	1261.18484
738	1259.758639
739	1258.793816
740	1257.886244
741	1256.777012
742	1255.684304
743	1254.925821
744	1254.452931
745	1253.176718
746	1252.364582
747	1251.87338
748	1250.98082
749	1250.481666
750	1249.766989
751	1248.518452
752	1247.908809
753	1247.210181
754	1246.652471
755	1245.843015
756	1244.590017
757	1244.041696
758	1243.443107
759	1242.664615
760	1242.063085
761	1241.514205
762	1240.898836
763	1239.516804
764	1238.853152
765	1237.796456
766	1236.90784
767	1235.897241
768	1235.328489
769	1234.39332
770	1233.758096
771	1233.561483
772	1232.889887
773	1231.892341
774	1230.762097
775	1229.55674
776	1228.946883
777	1227.90872
778	1226.56333
779	1225.819383
780	1224.894849
781	1224.3963
782	1223.933597
783	1222.565584
784	1221.693256
785	1220.566215
786	1219.216632
787	1218.871251
788	1218.542032
789	1217.700535
790	1216.645672
791	1215.428022
792	1214.359962
793	1213.51539
794	1212.835572
795	1212.164848
796	1211.633192
797	1210.482958
798	1209.70779
799	1208.863913
800	1207.956171
801	1206.889967
802	1206.09978
803	1205.69077
804	1204.876152
805	1203.891018
806	1203.14662
807	1202.249815
808	1201.100525
809	1199.964546
810	1199.246122
811	1198.3987
812	1197.391553
813	1196.343537
814	1195.627816
815	1194.509011
816	1193.805385
817	1193.049504
818	1192.158562
