iter	Passed	Remaining
0	60	60874
1	64	32001
2	67	22317
3	69	17377
4	73	14542
5	77	12862
6	82	11661
7	87	10903
8	93	10345
9	96	9506
10	98	8821
11	100	8289
12	102	7804
13	104	7376
14	106	7018
15	108	6691
16	110	6396
17	112	6149
18	114	5925
19	116	5712
20	118	5531
21	120	5361
22	122	5199
23	124	5073
24	129	5048
25	132	4945
26	134	4856
27	136	4742
28	138	4651
29	140	4558
30	142	4469
31	144	4378
32	146	4292
33	148	4218
34	150	4142
35	152	4073
36	153	4005
37	156	3965
38	158	3909
39	160	3850
40	162	3796
41	164	3745
42	166	3696
43	167	3648
44	169	3607
45	171	3563
46	173	3520
47	175	3483
48	177	3453
49	179	3415
50	181	3379
51	183	3346
52	185	3314
53	187	3282
54	189	3250
55	191	3222
56	192	3192
57	195	3169
58	197	3142
59	198	3117
60	200	3091
61	202	3065
62	204	3043
63	206	3020
64	208	2997
65	210	2974
66	212	2956
67	214	2940
68	216	2919
69	218	2897
70	220	2880
71	221	2860
72	223	2841
73	225	2825
74	227	2807
75	229	2790
76	231	2773
77	233	2764
78	235	2748
79	237	2731
80	239	2715
81	241	2704
82	243	2690
83	245	2675
84	247	2662
85	249	2648
86	251	2638
87	253	2623
88	255	2612
89	257	2599
90	258	2585
91	260	2573
92	262	2563
93	264	2550
94	267	2547
95	270	2542
96	271	2530
97	273	2518
98	275	2510
99	277	2498
100	279	2488
101	281	2477
102	283	2471
103	285	2461
104	287	2450
105	290	2446
106	291	2435
107	293	2425
108	295	2415
109	297	2408
110	299	2398
111	301	2388
112	303	2378
113	305	2371
114	307	2365
115	309	2356
116	311	2348
117	312	2339
118	314	2330
119	316	2322
120	318	2316
121	320	2308
122	322	2299
123	324	2290
124	326	2285
125	328	2277
126	330	2269
127	332	2263
128	334	2255
129	335	2247
130	337	2240
131	339	2234
132	341	2226
133	343	2219
134	345	2214
135	347	2208
136	349	2200
137	351	2194
138	353	2186
139	354	2179
140	356	2173
141	358	2166
142	360	2160
143	362	2153
144	364	2148
145	366	2142
146	368	2136
147	369	2129
148	371	2123
149	373	2117
150	375	2112
151	377	2105
152	379	2099
153	381	2094
154	383	2090
155	385	2084
156	387	2078
157	389	2074
158	391	2068
159	392	2062
160	395	2058
161	396	2053
162	398	2047
163	400	2042
164	403	2040
165	404	2034
166	406	2028
167	408	2022
168	410	2019
169	412	2014
170	414	2009
171	416	2005
172	418	2000
173	420	1996
174	422	1990
175	424	1986
176	426	1981
177	427	1976
178	429	1971
179	431	1967
180	433	1962
181	435	1956
182	437	1952
183	439	1949
184	441	1944
185	443	1939
186	445	1935
187	447	1930
188	448	1926
189	450	1921
190	453	1918
191	454	1914
192	456	1909
193	459	1908
194	461	1903
195	462	1899
196	464	1894
197	466	1890
198	468	1885
199	470	1881
200	472	1876
201	474	1873
202	476	1869
203	478	1866
204	480	1861
205	481	1857
206	483	1853
207	485	1849
208	487	1845
209	489	1841
210	491	1837
211	493	1833
212	495	1830
213	497	1826
214	499	1822
215	500	1818
216	502	1814
217	504	1810
218	506	1806
219	508	1802
220	510	1799
221	512	1795
222	514	1793
223	516	1790
224	518	1786
225	520	1782
226	522	1779
227	524	1776
228	527	1775
229	531	1778
230	534	1779
231	536	1775
232	538	1774
233	540	1770
234	543	1770
235	546	1770
236	549	1768
237	551	1764
238	553	1762
239	555	1759
240	557	1755
241	559	1752
242	561	1748
243	563	1744
244	565	1741
245	566	1737
246	568	1733
247	570	1729
248	572	1727
249	574	1724
250	576	1720
251	578	1716
252	580	1714
253	582	1710
254	584	1706
255	586	1703
256	587	1699
257	590	1697
258	592	1693
259	594	1690
260	596	1689
261	598	1685
262	600	1682
263	602	1679
264	605	1678
265	606	1674
266	609	1672
267	611	1669
268	612	1665
269	615	1662
270	616	1659
271	618	1656
272	620	1652
273	622	1649
274	624	1646
275	626	1642
276	628	1641
277	630	1638
278	632	1635
279	634	1631
280	636	1628
281	638	1625
282	640	1622
283	641	1618
284	644	1616
285	646	1613
286	647	1609
287	650	1607
288	651	1603
289	653	1600
290	655	1597
291	657	1594
292	659	1591
293	661	1588
294	663	1585
295	665	1583
296	667	1580
297	669	1577
298	671	1574
299	673	1570
300	675	1567
301	676	1564
302	678	1561
303	680	1558
304	682	1555
305	684	1552
306	686	1549
307	688	1546
308	690	1543
309	692	1541
310	694	1538
311	696	1534
312	697	1531
313	699	1528
314	701	1525
315	703	1523
316	705	1520
317	707	1517
318	709	1515
319	711	1511
320	713	1509
321	715	1506
322	717	1503
323	719	1500
324	720	1497
325	723	1495
326	725	1492
327	727	1489
328	729	1487
329	731	1484
330	732	1481
331	734	1478
332	736	1476
333	739	1473
334	741	1471
335	743	1468
336	745	1465
337	746	1462
338	748	1460
339	750	1457
340	752	1454
341	754	1451
342	756	1449
343	758	1446
344	760	1444
345	762	1441
346	764	1438
347	766	1435
348	768	1432
349	770	1430
350	772	1427
351	774	1424
352	775	1421
353	777	1419
354	779	1416
355	781	1413
356	783	1411
357	785	1408
358	787	1405
359	789	1402
360	791	1400
361	793	1397
362	794	1395
363	797	1392
364	799	1390
365	801	1387
366	802	1384
367	804	1381
368	806	1379
369	808	1376
370	810	1373
371	812	1371
372	814	1368
373	816	1366
374	818	1363
375	820	1361
376	822	1358
377	823	1355
378	825	1353
379	827	1350
380	829	1347
381	831	1344
382	833	1341
383	835	1339
384	837	1337
385	838	1334
386	840	1332
387	842	1329
388	844	1326
389	846	1323
390	848	1321
391	850	1318
392	852	1316
393	854	1314
394	856	1311
395	858	1309
396	860	1306
397	862	1304
398	864	1301
399	865	1298
400	867	1296
401	869	1294
402	872	1292
403	874	1289
404	876	1287
405	878	1284
406	879	1281
407	881	1279
408	884	1277
409	885	1274
410	887	1272
411	889	1269
412	892	1267
413	893	1265
414	895	1262
415	898	1260
416	899	1257
417	901	1255
418	903	1253
419	905	1250
420	907	1247
421	909	1245
422	911	1243
423	913	1241
424	915	1238
425	917	1236
426	919	1234
427	921	1231
428	923	1228
429	925	1226
430	927	1224
431	929	1221
432	931	1219
433	933	1217
434	935	1214
435	937	1212
436	939	1209
437	941	1207
438	942	1204
439	944	1202
440	946	1199
441	948	1197
442	950	1195
443	952	1192
444	954	1190
445	956	1187
446	958	1185
447	960	1183
448	962	1180
449	964	1178
450	966	1176
451	968	1173
452	970	1171
453	971	1168
454	973	1166
455	976	1164
456	977	1161
457	979	1159
458	981	1157
459	983	1154
460	985	1152
461	987	1150
462	989	1148
463	991	1145
464	993	1143
465	995	1141
466	998	1139
467	1002	1139
468	1005	1138
469	1007	1136
470	1010	1134
471	1012	1132
472	1015	1131
473	1019	1130
474	1021	1128
475	1022	1126
476	1025	1124
477	1027	1121
478	1029	1119
479	1031	1117
480	1033	1114
481	1035	1112
482	1037	1110
483	1039	1107
484	1040	1105
485	1043	1103
486	1045	1100
487	1046	1098
488	1048	1095
489	1050	1093
490	1052	1091
491	1054	1088
492	1056	1086
493	1057	1083
494	1060	1081
495	1062	1079
496	1064	1077
497	1066	1074
498	1068	1072
499	1070	1070
500	1073	1068
501	1076	1067
502	1078	1065
503	1080	1063
504	1082	1060
505	1084	1058
506	1085	1055
507	1088	1053
508	1089	1051
509	1091	1048
510	1093	1046
511	1095	1044
512	1097	1041
513	1099	1039
514	1101	1037
515	1103	1035
516	1105	1032
517	1107	1030
518	1109	1028
519	1111	1025
520	1112	1023
521	1116	1021
522	1119	1021
523	1121	1019
524	1123	1016
525	1125	1014
526	1127	1012
527	1129	1009
528	1131	1007
529	1133	1005
530	1135	1002
531	1137	1000
532	1139	998
533	1141	995
534	1142	993
535	1145	991
536	1147	989
537	1148	986
538	1150	984
539	1152	982
540	1155	980
541	1156	977
542	1159	975
543	1160	973
544	1162	970
545	1165	968
546	1167	966
547	1169	964
548	1170	961
549	1173	959
550	1175	957
551	1177	955
552	1179	953
553	1180	950
554	1182	948
555	1184	946
556	1186	943
557	1188	941
558	1190	938
559	1192	936
560	1194	934
561	1196	932
562	1198	929
563	1200	927
564	1202	925
565	1203	923
566	1205	920
567	1207	918
568	1209	916
569	1211	914
570	1213	911
571	1215	909
572	1216	906
573	1218	904
574	1220	902
575	1222	900
576	1224	897
577	1226	895
578	1228	893
579	1230	891
580	1232	888
581	1234	886
582	1236	884
583	1238	882
584	1240	879
585	1242	877
586	1244	875
587	1245	872
588	1247	870
589	1250	868
590	1251	866
591	1253	864
592	1255	861
593	1257	859
594	1259	857
595	1261	855
596	1263	852
597	1265	850
598	1267	848
599	1269	846
600	1270	843
601	1272	841
602	1274	839
603	1276	836
604	1278	834
605	1280	832
606	1282	830
607	1283	827
608	1286	825
609	1288	823
610	1290	821
611	1292	819
612	1293	816
613	1295	814
614	1297	812
615	1299	810
616	1301	807
617	1303	805
618	1305	803
619	1307	801
620	1309	799
621	1311	796
622	1313	794
623	1314	792
624	1316	790
625	1318	787
626	1320	785
627	1322	783
628	1325	781
629	1326	779
630	1328	777
631	1330	774
632	1332	772
633	1334	770
634	1336	768
635	1337	765
636	1339	763
637	1342	761
638	1344	759
639	1346	757
640	1348	755
641	1349	752
642	1351	750
643	1353	748
644	1355	746
645	1357	743
646	1359	741
647	1361	739
648	1363	737
649	1365	735
650	1367	732
651	1369	730
652	1370	728
653	1372	726
654	1374	724
655	1376	721
656	1378	719
657	1380	717
658	1382	715
659	1384	713
660	1386	710
661	1388	708
662	1390	706
663	1392	704
664	1394	702
665	1395	699
666	1397	697
667	1400	695
668	1401	693
669	1403	691
670	1405	689
671	1407	687
672	1409	684
673	1411	682
674	1413	680
675	1415	678
676	1417	676
677	1419	674
678	1421	671
679	1423	669
680	1425	667
681	1427	665
682	1429	663
683	1430	661
684	1433	658
685	1434	656
686	1437	654
687	1438	652
688	1441	650
689	1442	648
690	1444	646
691	1446	643
692	1448	641
693	1450	639
694	1452	637
695	1454	635
696	1456	633
697	1458	631
698	1460	629
699	1462	626
700	1464	624
701	1466	622
702	1468	620
703	1472	619
704	1476	617
705	1478	615
706	1480	613
707	1483	611
708	1485	609
709	1489	608
710	1491	606
711	1494	604
712	1496	602
713	1497	599
714	1499	597
715	1501	595
716	1503	593
717	1505	591
718	1507	589
719	1508	586
720	1510	584
721	1513	582
722	1515	580
723	1516	578
724	1518	576
725	1520	574
726	1522	571
727	1524	569
728	1526	567
729	1528	565
730	1530	563
731	1532	561
732	1534	558
733	1535	556
734	1538	554
735	1540	552
736	1542	550
737	1545	548
738	1547	546
739	1549	544
740	1551	542
741	1553	540
742	1555	538
743	1557	535
744	1559	533
745	1561	531
746	1563	529
747	1565	527
748	1567	525
749	1569	523
750	1571	520
751	1573	518
752	1575	516
753	1577	514
754	1579	512
755	1581	510
756	1583	508
757	1584	506
758	1587	503
759	1589	501
760	1591	499
761	1594	498
762	1598	496
763	1601	494
764	1604	493
765	1608	491
766	1610	489
767	1612	487
768	1614	485
769	1616	482
770	1618	480
771	1620	478
772	1622	476
773	1624	474
774	1626	472
775	1628	470
776	1630	467
777	1632	465
778	1634	463
779	1636	461
780	1638	459
781	1640	457
782	1641	455
783	1643	452
784	1646	450
785	1648	448
786	1649	446
787	1651	444
788	1653	442
789	1655	440
790	1657	437
791	1659	435
792	1660	433
793	1663	431
794	1664	429
795	1667	427
796	1668	425
797	1670	422
798	1672	420
799	1674	418
800	1676	416
801	1678	414
802	1680	412
803	1682	410
804	1684	408
805	1686	405
806	1688	403
807	1690	401
808	1692	399
809	1694	397
810	1696	395
811	1698	393
812	1700	391
813	1702	389
814	1704	386
815	1706	384
816	1707	382
817	1710	380
818	1711	378
819	1713	376
820	1715	374
821	1717	371
822	1719	369
823	1721	367
824	1723	365
825	1725	363
826	1727	361
827	1729	359
828	1731	357
829	1733	354
830	1734	352
